[+] A iniciar stress write Modbus FC6 contra 172.27.224.250:502 (UnitID=1, Reg=6)...
[!] Stress write FC6 no registo 6, valor base 10
[2025-10-06 20:46:19] TID 1 | Valor enviado: 10 | Valor recebido: 10
[2025-10-06 20:46:19] TID 2 | Valor enviado: 11 | Valor recebido: 11
[2025-10-06 20:46:19] TID 3 | Valor enviado: 12 | Valor recebido: 12
[2025-10-06 20:46:19] TID 4 | Valor enviado: 13 | Valor recebido: 13
[2025-10-06 20:46:19] TID 5 | Valor enviado: 14 | Valor recebido: 14
[2025-10-06 20:46:19] TID 6 | Valor enviado: 15 | Valor recebido: 15
[2025-10-06 20:46:19] TID 7 | Valor enviado: 16 | Valor recebido: 16
[2025-10-06 20:46:19] TID 8 | Valor enviado: 17 | Valor recebido: 17
[2025-10-06 20:46:19] TID 9 | Valor enviado: 18 | Valor recebido: 18
[2025-10-06 20:46:20] TID 10 | Valor enviado: 19 | Valor recebido: 19
[2025-10-06 20:46:20] TID 11 | Valor enviado: 20 | Valor recebido: 20
[2025-10-06 20:46:20] TID 12 | Valor enviado: 10 | Valor recebido: 10
[2025-10-06 20:46:20] TID 13 | Valor enviado: 11 | Valor recebido: 11
[2025-10-06 20:46:20] TID 14 | Valor enviado: 12 | Valor recebido: 12
[2025-10-06 20:46:20] TID 15 | Valor enviado: 13 | Valor recebido: 13
[2025-10-06 20:46:20] TID 16 | Valor enviado: 14 | Valor recebido: 14
[2025-10-06 20:46:20] TID 17 | Valor enviado: 15 | Valor recebido: 15
[2025-10-06 20:46:20] TID 18 | Valor enviado: 16 | Valor recebido: 16
[2025-10-06 20:46:20] TID 19 | Valor enviado: 17 | Valor recebido: 17
[2025-10-06 20:46:21] TID 20 | Valor enviado: 18 | Valor recebido: 18
[2025-10-06 20:46:21] TID 21 | Valor enviado: 19 | Valor recebido: 19
[2025-10-06 20:46:21] TID 22 | Valor enviado: 20 | Valor recebido: 20
[2025-10-06 20:46:21] TID 23 | Valor enviado: 10 | Valor recebido: 10
[2025-10-06 20:46:21] TID 24 | Valor enviado: 11 | Valor recebido: 11
[2025-10-06 20:46:21] TID 25 | Valor enviado: 12 | Valor recebido: 12
[2025-10-06 20:46:21] TID 26 | Valor enviado: 13 | Valor recebido: 13
[2025-10-06 20:46:21] TID 27 | Valor enviado: 14 | Valor recebido: 14
[2025-10-06 20:46:21] TID 28 | Valor enviado: 15 | Valor recebido: 15
[2025-10-06 20:46:21] TID 29 | Valor enviado: 16 | Valor recebido: 16
[2025-10-06 20:46:22] TID 30 | Valor enviado: 17 | Valor recebido: 17
[2025-10-06 20:46:22] TID 31 | Valor enviado: 18 | Valor recebido: 18
[2025-10-06 20:46:22] TID 32 | Valor enviado: 19 | Valor recebido: 19
[2025-10-06 20:46:22] TID 33 | Valor enviado: 20 | Valor recebido: 20
[2025-10-06 20:46:22] TID 34 | Valor enviado: 10 | Valor recebido: 10
[2025-10-06 20:46:22] TID 35 | Valor enviado: 11 | Valor recebido: 11
[2025-10-06 20:46:22] TID 36 | Valor enviado: 12 | Valor recebido: 12
[2025-10-06 20:46:22] TID 37 | Valor enviado: 13 | Valor recebido: 13
[2025-10-06 20:46:22] TID 38 | Valor enviado: 14 | Valor recebido: 14
[2025-10-06 20:46:22] TID 39 | Valor enviado: 15 | Valor recebido: 15
[2025-10-06 20:46:23] TID 40 | Valor enviado: 16 | Valor recebido: 16
[2025-10-06 20:46:23] TID 41 | Valor enviado: 17 | Valor recebido: 17
[2025-10-06 20:46:23] TID 42 | Valor enviado: 18 | Valor recebido: 18
[2025-10-06 20:46:23] TID 43 | Valor enviado: 19 | Valor recebido: 19
[2025-10-06 20:46:23] TID 44 | Valor enviado: 20 | Valor recebido: 20
[2025-10-06 20:46:23] TID 45 | Valor enviado: 10 | Valor recebido: 10
[2025-10-06 20:46:23] TID 46 | Valor enviado: 11 | Valor recebido: 11
[2025-10-06 20:46:23] TID 47 | Valor enviado: 12 | Valor recebido: 12
[2025-10-06 20:46:23] TID 48 | Valor enviado: 13 | Valor recebido: 13
[2025-10-06 20:46:23] TID 49 | Valor enviado: 14 | Valor recebido: 14
[2025-10-06 20:46:24] TID 50 | Valor enviado: 15 | Valor recebido: 15
[2025-10-06 20:46:24] TID 51 | Valor enviado: 16 | Valor recebido: 16
[2025-10-06 20:46:24] TID 52 | Valor enviado: 17 | Valor recebido: 17
[2025-10-06 20:46:24] TID 53 | Valor enviado: 18 | Valor recebido: 18
[2025-10-06 20:46:24] TID 54 | Valor enviado: 19 | Valor recebido: 19
[2025-10-06 20:46:24] TID 55 | Valor enviado: 20 | Valor recebido: 20
[2025-10-06 20:46:24] TID 56 | Valor enviado: 10 | Valor recebido: 10
[2025-10-06 20:46:24] TID 57 | Valor enviado: 11 | Valor recebido: 11
[2025-10-06 20:46:24] TID 58 | Valor enviado: 12 | Valor recebido: 12
[2025-10-06 20:46:24] TID 59 | Valor enviado: 13 | Valor recebido: 13
